no,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,population,population_density,gdp_per_capita,extreme_poverty
57,Bangladesh,6/28/2021,896770,3306,11150,97,0.72,25786,5370853,164689383,1265.036,3523.984,14.8
58,Bangladesh,6/29/2021,904436,3031,11228,78,0.69,24237,5395090,164689383,1265.036,3523.984,14.8
59,Bangladesh,6/30/2021,913258,2955,11305,77,0.67,24237,5419327,164689383,1265.036,3523.984,14.8
60,Bangladesh,7/1/2021,921559,2341,11393,88,0.65,24928,5444255,164689383,1265.036,3523.984,14.8
61,Bangladesh,7/2/2021,930042,2177,11450,57,0.63,21046,5465301,164689383,1265.036,3523.984,14.8
62,Bangladesh,7/3/2021,936256,1452,11510,60,0.61,15117,5480418,164689383,1265.036,3523.984,14.8
63,Bangladesh,7/4/2021,944917,1359,11579,69,0.59,14158,5494576,164689383,1265.036,3523.984,14.8
64,Bangladesh,7/5/2021,954881,1739,11644,65,0.59,13431,5508007,164689383,1265.036,3523.984,14.8
65,Bangladesh,7/6/2021,966406,1914,11705,61,0.59,0,0,164689383,1265.036,3523.984,14.8
66,Bangladesh,7/7/2021,977568,1742,11755,50,0.59,0,0,164689383,1265.036,3523.984,14.8
67,Bangladesh,7/8/2021,989219,1822,11796,41,0,0,0,164689383,1265.036,3523.984,14.8
68,,7/9/2021,1000543,1682,11833,37,,,,,,,
69,,7/10/2021,1009315,1285,11878,45,,,,,,,
70,,7/11/2021,1021189,1386,11934,56,,,,,,,
71,,7/12/2021,1034957,1514,11972,38,,,,,,,
72,,7/13/2021,1047155,1230,11975,3,,,,,,,
